City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,saint-francois,46.4154,3.9054,9.82000000000005,53,0,5.14,FR,1713707247
177,georgetown,5.4112,100.3354,30.970000000000027,66,20,4.63,MY,1713707100
178,luanda,-8.8368,13.2343,31.0,78,20,6.17,AO,1713707011
179,axim,4.8699,-2.2405,30.900000000000034,66,98,4.4,GH,1713707016
180,cabo san lucas,22.8909,-109.9124,24.860000000000014,35,0,4.63,MX,1713707249
181,san luis de la loma,17.2706,-100.8939,26.54000000000002,39,1,0.6,MX,1713707250
182,hami,42.8,93.45,20.08000000000004,20,1,6.05,CN,1713707097
183,san patricio,28.017,-97.5169,16.02000000000004,87,100,8.8,US,1713707250
184,chui,-33.6971,-53.4616,21.180000000000007,67,100,1.39,UY,1713707251
185,qaqortoq,60.7167,-46.0333,2.930000000000007,59,100,1.95,GL,1713707252
186,kardla,58.9978,22.7492,3.3600000000000136,81,75,9.26,EE,1713707252
187,bakaly,55.1789,53.8028,19.010000000000048,49,20,5.57,RU,1713707252
188,miandrivazo,-19.5167,45.4667,31.30000000000001,50,0,2.01,MG,1713707253
189,lata,40.1629,-8.3327,26.379999999999995,38,0,2.63,PT,1713707253
190,la passe,45.5549,-0.8967,12.210000000000036,52,50,7.76,FR,1713707253
191,harjavalta,61.3167,22.1333,0.8500000000000227,49,100,3.3,FI,1713707254
192,guatrache,-37.6678,-63.5302,16.04000000000002,58,100,3.35,AR,1713707254
193,ebon,4.582,168.6964,28.08000000000004,81,12,7.15,MH,1713707255
194,al qadarif,14.0349,35.3834,39.620000000000005,6,20,7.32,SD,1713707255
195,mount pearl,47.5166,-52.7813,4.980000000000018,86,100,12.86,CA,1713707173
196,gaspe,48.8334,-64.4819,8.120000000000005,53,20,3.6,CA,1713707256
197,laojunmiao,39.8333,97.7333,11.730000000000018,29,30,2.17,CN,1713707080
198,aykhal,66.0,111.5,-0.5600000000000023,98,100,5.22,RU,1713707042
199,simanggang,1.2472,111.4528,26.99000000000001,94,100,1.54,MY,1713707216
200,kudahuvadhoo,2.6708,72.8944,29.930000000000007,73,75,5.03,MV,1713707257
201,pangody,65.85,74.4859,-8.120000000000005,95,100,4.55,RU,1713707258
202,susuman,62.7833,148.1667,-15.569999999999993,99,41,0.45,RU,1713707258
203,kungur,57.4368,56.9593,15.350000000000023,40,29,3.56,RU,1713707259
204,mossel bay,-34.1831,22.146,17.960000000000036,87,97,4.21,ZA,1713707261
205,curvelo,-18.7564,-44.4308,28.189999999999998,44,0,2.25,BR,1713707156
206,masterton,-40.9597,175.6575,9.379999999999995,98,10,0.7,NZ,1713707151
207,el charco,2.4769,-78.1105,24.83000000000004,91,100,3.01,CO,1713707262
208,bisert',56.8617,59.0523,15.170000000000016,44,91,3.1,RU,1713707262
209,cidreira,-30.1811,-50.2056,23.400000000000034,56,6,1.07,BR,1713707263
210,noumea,-22.2763,166.4572,25.0,99,100,5.71,NC,1713707222
211,jardin america,-27.0435,-55.227,24.210000000000036,53,0,2.32,AR,1713707264
212,port elizabeth,-33.918,25.5701,31.170000000000016,85,0,9.77,ZA,1713707264
213,mirny,62.5353,113.9611,-0.42999999999995,99,100,4.02,RU,1713707265
214,sinop,41.7711,34.8709,12.439999999999998,73,59,3.16,TR,1713707228
215,stornoway,58.2093,-6.3865,12.990000000000009,77,75,3.09,GB,1713707266
216,peniche,39.3558,-9.3811,22.379999999999995,65,0,3.2,PT,1713707266
217,bamboo flat,11.7,92.7167,30.05000000000001,70,20,1.03,IN,1713707266
218,magnitogorsk,53.4186,59.0472,26.460000000000036,31,40,2.0,RU,1713707267
219,swakopmund,-22.6833,14.5333,25.470000000000027,58,91,5.46,NA,1713707267
220,port mathurin,-19.6833,63.4167,27.090000000000032,81,69,6.24,MU,1713707268
221,kununurra,-15.7667,128.7333,19.99000000000001,77,7,0.0,AU,1713707268
222,isangel,-19.55,169.2667,26.210000000000036,88,80,4.62,VU,1713707268
223,vrangel',42.7297,133.0839,5.270000000000039,92,21,1.38,RU,1713707269
224,sandnessjoen,66.0217,12.6316,7.2900000000000205,39,0,2.57,NO,1713707269
225,falmouth,50.1544,-5.0711,14.32000000000005,76,75,4.92,GB,1713707270
226,lethbridge,49.7,-112.8186,7.580000000000041,56,75,4.63,CA,1713707271
227,nizhniy odes,63.6445,54.856,1.0600000000000023,89,85,4.21,RU,1713707271
228,talnakh,69.4865,88.3972,-13.769999999999982,98,100,1.95,RU,1713707271
229,chiredzi,-21.05,31.6667,32.910000000000025,22,0,3.87,ZW,1713707272
230,road town,18.4167,-64.6167,28.02000000000004,69,40,5.14,VG,1713707272
231,pemba,-12.974,40.5178,30.390000000000043,70,75,6.69,MZ,1713707272
232,pangai,-19.8,-174.35,26.100000000000023,76,99,5.02,TO,1713707273
233,al jubayl,27.0112,49.6583,28.02000000000004,50,0,9.35,SA,1713707273
234,sassandra,4.95,-6.0833,32.32000000000005,58,100,4.9,CI,1713707274
235,kingston,17.997,-76.7936,30.090000000000032,62,20,3.09,JM,1713707274
236,tralee,52.2704,-9.7026,18.140000000000043,52,0,2.57,IE,1713707274
237,talcahuano,-36.7167,-73.1167,10.82000000000005,76,0,1.54,CL,1713707275
238,tuam,53.5167,-8.85,18.460000000000036,61,26,1.32,IE,1713707275
239,fisterra,42.9049,-9.2629,24.30000000000001,61,24,2.84,ES,1713707276
240,vicente guerrero,19.1194,-98.1708,18.03000000000003,47,4,1.02,MX,1713707276
241,nova granada,-20.5339,-49.3142,27.140000000000043,42,0,3.48,BR,1713707122
242,sauk rapids,45.5919,-94.1661,6.060000000000002,56,0,4.12,US,1713707277
243,tazacorte,28.629,-17.9293,22.54000000000002,74,75,5.14,ES,1713707278
244,afaahiti,-17.75,-149.2833,27.930000000000007,83,99,6.1,PF,1713707278
245,labrador city,52.9463,-66.9114,-3.0499999999999545,59,40,6.69,CA,1713707278
246,hamilton,39.1834,-84.5333,7.010000000000048,62,0,3.6,US,1713707279
247,guerrero negro,27.9769,-114.0611,15.29000000000002,86,99,4.58,MX,1713707279
248,kinablangan,7.6947,126.5503,26.420000000000016,87,78,0.94,PH,1713707279
249,oranjemund,-28.55,16.4333,18.420000000000016,67,90,4.35,NA,1713707280
250,changji,44.0167,87.3167,22.439999999999998,21,0,2.0,CN,1713707281
251,badger,64.8,-147.5333,3.230000000000018,72,0,0.0,US,1713707282
252,berdigestyakh,62.0989,126.6992,0.2300000000000182,98,100,3.54,RU,1713707285
253,itaituba,-4.2761,-55.9836,25.090000000000032,94,100,3.6,BR,1713707292
254,kushima,31.4583,131.2333,21.410000000000025,95,100,3.09,JP,1713707100
255,belomorsk,64.5232,34.7668,-4.060000000000002,81,100,3.05,RU,1713707296
256,sumbe,-11.2061,13.8437,30.05000000000001,72,23,3.92,AO,1713707296
257,lufkin,31.3382,-94.7291,11.330000000000041,93,100,3.6,US,1713707297
258,callao,-12.0667,-77.15,21.160000000000025,83,0,2.57,PE,1713707297
259,joshimath,30.5667,79.5667,15.950000000000045,59,54,0.45,IN,1713707298
260,big spring,32.2504,-101.4787,8.460000000000036,85,100,3.6,US,1713707181
261,coquimbo,-29.9533,-71.3436,16.850000000000023,77,100,1.54,CL,1713707298
262,itoman,26.1247,127.6694,26.210000000000036,96,40,5.66,JP,1713707299
263,chukhloma,58.7525,42.6825,12.830000000000041,40,60,3.58,RU,1713707299
264,samus',56.7475,84.6992,3.5100000000000477,92,100,4.27,RU,1713707300
265,howard springs,-12.497,131.047,26.950000000000045,59,83,3.51,AU,1713707300
266,sorong,-0.8833,131.25,27.970000000000027,82,100,3.21,ID,1713707300
267,ribeira brava,32.65,-17.0667,22.230000000000018,66,97,2.06,PT,1713707143
268,sainte-rose,16.3324,-61.6979,29.54000000000002,79,40,4.63,GP,1713707301
269,sao gabriel da cachoeira,-0.1303,-67.0892,25.890000000000043,94,40,1.54,BR,1713707302
